id,meaning,perslemma
40,schreiben“ in der Form von,
40,"er, sie, es hatte getan",
40,werden Sätze wie „ich möchte,
40,": „ich möchte, daß ich schreibe“",
41,ausgedrückt. Aus diesem Grund im Deutschen.,
41,"er, sie, es würde",
41,lesen sie brachten (man brachte) wurde gelesen,
41,du kannst sie kommen,
41,(Konj.),
41,e wird viel weniger der Infinitiv gebraucht als,
41,du pflegtest zu,
41,lesen,
41,"er, sie, es hat gelesen Zeitschrift er, sie, es hatte gelesen als, (in",
41,"der Zeit,",
41,als),
41,ektion 40,
41,schade,
41,niemals,
41,"Juwel, Edelstein Stein Befehl",
41,Königverehrer Anbeter der Materie Materie,
41,"weise, klug",
41,Sklave,
41,Diamant Preis drei Kilo,
41,"zerbrich Dichter schaden,Schaden verursachen",
41,"Gelehrter, Weiser",
41,"er, sie, es zeigte",
41,wieviel,
42,41,
42,am anderen Tag ich töte (Konj.),
42,"Vögel er, sie, es erreicht nicht ich nahm seine (ihre) Seele, ich tötete",
42,"ihn (sie, es)",
42,Salomo,
42,Jüngling du zitterst,
42,Todesengel befiehl,
42,"Indien er, sie, es findet (Konj.)",
43,gelesen worden,
43,"er, sie, es hat ge­ lesen gehabt er, sie, es hatte gelesen gehabt",
43,gelesen,
43,es ist gelesen worden es war gelesen worden es wurde (Dauerform: immer),
43,gelesen es wäre gelesen worden,
43,Lektion 42,
43,ich gehorche ich rupfe nicht mehr,
43,Geschichte,
43,denken Gewohnheit,
43,du rupfst,
44,Diener Dienstmädchen,
44,klar,
44,damit schreiben Garten,
44,ektion 43,
44,Stadt,
44,"keiner, keine. keines, niemand behandeln, heilen ein (gewisses)",
44,"Heilmittel, eine",
44,Arznei,
44,ich sterbe (Konj.),
44,Gott sei Dank Gift so schnell wie,
44,möglich,
44,töten,
44,Aktiv und Passiv,
44,hören,
45,"getötet fortgetragen, weggetragen",
45,Kleid gebügelt Bügeleisen,
45,er wird gelesen haben wenn Sie kommen an; ihr kommt an,
45,(Konj.) es wird gelesen werden,
45,"eines Tages verhaftet, (fest-) genommen",
45,Lektion 44,
45,getötet,
45,"fortgetragen, weggetragen",
45,Kleid gebügelt Bügeleisen,
45,er wird gelesen haben wenn Sie kommen an; ihr kommt an,
45,(Konj.) es wird gelesen werden,
45,"eines Tages verhaftet, (fest-) genommen",
45,Lektion 44,
45,Monatsnamen,
45,21\. März bis 20. April,
45,21\. April bis 21. Mai 22. Mai bis 21. Juni 22. Juni bis 22. Juli 23.,
45,Juli bis 22. August 23. August bis 22. September 23. September bis 22.,
45,Oktober 23. Oktober bis 21. November,
45,22\. November bis 21. Dezember 22. Dezember bis 20. Januar 21. Januar,
45,bis 19. Februar 20. Februar bis 20. März,
45,"borgen, entleihen",
46,Lektic,
46,on 45,
46,"Minute gedulden Sie sich, warten Sie\!",
46,"er läßt nicht (los) herauskommen, hinauskommen derselbe, welcher draußen",
46,Moschee er hat gehalten (zurückgeh alten),
46,"Bad, Badeanstalt Koffer nimm weg, nimm mit\!",
46,tägliches Gebet,
46,halb,
46,Beispiel verkaufen,
46,kochen,
46,Verb,
46,Infinitiv Stamm; Wurzel,
47,"Sonne, Sonnen",
47,schein,
47,ektion 46,
47,er spricht (unter,
47,hält sich),
48,er ruft frage\! ich frage du gehst,
48,spazieren,
48,"spazieren gehen Vorschlag ich bin einverstanden er bewegt, schüttelt",
48,Lektion 47,
48,Mund obwohl,
48,"genug, genügend",
48,Hand Fuß,
48,wir hören (Konj.) sowohl– als,
48,auch,
48,weniger,
48,er hörte,
48,vielleicht,
49,können pflücken,
49,48,
49,"es scheint so, als ob Teil",
49,töte nicht gib\!,
49,du schenkst du bist nicht bereit klar,
49,"stehlen, rauben anfassen Leute",
49,helfen Sie\!,
49,Kind forttragen (mit- nehmen) Geschrei,
49,Schrei,
50,n 49,
50,o weh\! ach\! ich brenne (ich habe Feuer be­ kommen),
50,Feuer ich brenne,
50,"in, Innere hol heraus’,",
50,etwa,
50,"unreif, ungekocht gekocht, reif wenn, zu einer Zeit wo du wirst",
50,verstehen ich bin im Begriff zu sterben,
50,"Erzählung, Fabel Erbse schön",
50,Kochtopf ich gieße (ein) (Konj.) ich koche (Konj.),
50,"setzen, stellen, legen warte\!",
50,"du sagst die Wahrheit im Begriff sein, etwas zu tun; haben er ist im",
50,"Begriffe– noch, wieder",
50,"weich, mild voll von Liebe, Zuneigung",
50,du beißt weil ich empfinde,
50,Liebe,
50,Knochen,
50,mein Körper Körper,
50,ich war eingeschlafen,
50,"also, dann Herz",
51,bleiben,
51,"bringen, holen",
51,brechen,
51,tun schreiben,
51,ektion 50,
51,"der Fünfte Lasso, Wurfschlinge ich werfe",
51,Henker,
51,es genügt ich bewege (Konj.),
